CETE CENTRO ESP DE TERAPIA E ESTIM	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	VALINHOS	AVENIDA FRANCISCO JOSE DE CAMARGO ANDRADE 358	JARDIM CHAPADAO	13070055	19-32416050;19-33427730;	
CENTRO DE ORTOP E FRATURAS VALINHOS	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	VALINHOS	AVENIDA AV ONZE DE AGOSTO 2035	VILA EMBARE	13276130	19-38696688;	CRM-SP
CENTRO MEDICO HOMEOPATICO DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	VALINHOS	RUA CAMARGO PAES 642	JARDIM GUANABARA	13073350	19-32335513;	
GLAUCIO COSTA DE OLIVEIRA	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	VALINHOS	RUA MARIA MONTEIRO 1016	CAMBUI	13025151	19-37058800;19-32948156;	CRM-SP 75106
THELMA ELAINE BRASILEIRO	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	VALINHOS	RUA FRANCISCO ALVES 56	BOTAFOGO	13020380	19-33881943;19-25121941;	CRM-SP 104938
AMGS ASSISTENCIA MEDICA	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	VALINHOS	RUA DOUTOR ANTONIO GALIZIA 155	CAMBUI	13024510	19-32130343;	
CLINICA DE ALERGIA E IMUNOLOGIA DR ROBER	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	VALINHOS	AVENIDA BRASIL 1601	JARDIM GUANABARA	13070178	19-32411112;19-32422211;19-32411018;	
CLINICA DE SAUDE INTEGRADA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	VALINHOS	AVENIDA INDEPENDENCIA 4760	JARDIM ITALIA	13280000	19-38467951;19-38467910;	
GISELA BARBOSA MOREIRA	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	VALINHOS	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-32343244;19-32360618;	CRM-SP 51254
RUI ALMEIDA COATTI	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	VALINHOS	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-32343244;	CRM-SP 18459
CONEXA SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA PEDIATRICA	VALINHOS	RUA ATENDIMENTO EXCLUSIVO ON-LINE	VILA ITAPURA	13023200		CRM-SP 1006122
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	ANGIOLOGIA E CIRURGIA VASCULAR	VALINHOS	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	ANGIOLOGIA E CIRURGIA VASCULAR	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
ANGIOSAFE	CONSULTORIOS - CLINICAS - TERAPIAS	ANGIOLOGIA E CIRURGIA VASCULAR	VALINHOS	RUA AMERICO BRASILIENSE 244	CAMBUI	13025230	19-32942864;	CRM-ES 126650
AMIL - POLICLINICA DE VINHEDO	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	RUA MANOEL MATHEUS 1473	CENTRO	13280970	11-45831216;	
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CARDIOCAMP DIAGCAMP	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	AVENIDA ANDRADE NEVES 707	CENTRO	13013161	19-32310909;	
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CENTRO DE RITMOLOGIA CARDIO DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	RUA SEBASTIAO DE SOUZA 205	BOTAFOGO	13013173	19-37398890;	
CLINICA LIBERMAN	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	AVENIDA ANDRADE NEVES 699	CENTRO	13013161	19-32324811;19-32324811;	
CLINICA MANNINA	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	RUA AMELIA BUENO 159	TAQUARAL	13076050	19-33052632;19-989219616;19-994294222;	
CLINICA MEDICA CARVALHO & NASSER	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	RUA LUIZ SPIANDORELLI NETO 30	LOTEAMENTO PAIQUERE	13271570	19-38712540;19-38497634;19-38716457;	
CLINICA MEDICA MEDEIROS	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	RUA FREI ANTONIO DE PADUA 1263	JARDIM GUANABARA	13073330	19-32435917;19-32038272;19-998246994;	
DIAGNOSTICO CARDIOLOGICO	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-37435000;19-981343576;19-21218481;19-32322616;	CRM-SP 54089
MANUEL ALBERTO SEMINARIO ORIGGI	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	RUA SANTA CRUZ 897	CENTRO	13280154	19-38864353;	CRM-SP 064029
MARCELO PRADO FORTUNA GERIN	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	VALINHOS	RUA BARRETO LEME 1865	CAMBUI	13025085	19-32520222;19-32522212;	CRM-SP 136028
CENTRO DE DESOSPITALIZACAO HUMANA - VIVER	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA PEDIATRICA	VALINHOS	RUA CAMARGO PAES 776	JARDIM GUANABARA	13073350	19-25116989;19-25126989;	CRM-SP 51466
CARDIOCAMP DIAGCAMP	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA PEDIATRICA	VALINHOS	AVENIDA ANDRADE NEVES 707	CENTRO	13013161	19-32310909;	
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	VALINHOS	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CLINICA AUN	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	VALINHOS	RUA BARAO DE ATIBAIA 80	VILA ITAPURA	13023010	19-32325825;19-32327268;	CRM-SP 94323
CLINICA MANNINA	CONSULTORIOS - CLINICAS - TERAPIAS	CIRURGIA APARELHO DIGESTIVO	VALINHOS	RUA AMELIA BUENO 159	TAQUARAL	13076050	19-33052632;19-989219616;19-994294222;	
