CETE CENTRO ESP DE TERAPIA E ESTIM	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	CAMPINAS	Prata QC	AVENIDA FRANCISCO JOSE DE CAMARGO ANDRADE 358	JARDIM CHAPADAO	13070055	19-32416050;19-33427730;	
CENTRO DE ORTOP E FRATURAS VALINHOS	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	CAMPINAS	Prata QC	AVENIDA AV ONZE DE AGOSTO 2035	VILA EMBARE	13276130	19-38696688;	CRM-SP
CENTRO MEDICO HOMEOPATICO DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	CAMPINAS	Prata QC	RUA CAMARGO PAES 642	JARDIM GUANABARA	13073350	19-32335513;	
CLINICA MEDICA DRA MARCIA HARADA	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	CAMPINAS	Prata QC	RUA DOUTOR ALBANO DE ALMEIDA LIMA 680	JARDIM GUANABARA	13073131	19-25132700;	CRM-SP 84473
GLAUCIO COSTA DE OLIVEIRA	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	CAMPINAS	Prata QC	RUA MARIA MONTEIRO 1016	CAMBUI	13025151	19-37058800;19-32948156;	CRM-SP 75106
INSTITUTO NOVA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	CAMPINAS	Prata QC	RUA ORLANDO FAGNANI 488	NOVA CAMPINAS	13092054		CRM-SP 100435
THELMA ELAINE BRASILEIRO	CONSULTORIOS - CLINICAS - TERAPIAS	ACUPUNTURA MEDICA	CAMPINAS	Prata QC	RUA FRANCISCO ALVES 56	BOTAFOGO	13020380	19-33881943;19-25121941;	CRM-SP 104938
MULTI CLINICAS	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	CAMPINAS	Prata QC	RUA AMERICANA 127	JARDIM NOVO CAMPOS ELISEOS	13050551	19-32275711;	
AMGS ASSISTENCIA MEDICA	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	CAMPINAS	Prata QC	RUA DOUTOR ANTONIO GALIZIA 155	CAMBUI	13024510	19-32130343;	
CLINICA DE ALERGIA E IMUNOLOGIA DR ROBER	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	CAMPINAS	Prata QC	AVENIDA BRASIL 1601	JARDIM GUANABARA	13070178	19-32411112;19-32422211;19-32411018;	
CLINICA DE SAUDE INTEGRADA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	CAMPINAS	Prata QC	AVENIDA BARAO DE ITAPURA 2137	JARDIM GUANABARA	13073300	19-32123255;19-32430411;	
GISELA BARBOSA MOREIRA	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	CAMPINAS	Prata QC	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-32343244;19-32360618;	CRM-SP 51254
RUI ALMEIDA COATTI	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	CAMPINAS	Prata QC	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-32343244;	CRM-SP 18459
THYENNE ABREU E DI LORETO SERVICO MEDICO	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA	CAMPINAS	Prata QC	RUA SACRAMENTO 900	CENTRO	13023185	19-32320737;19-32325097;	
CONEXA SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	ALERGIA E IMUNOLOGIA PEDIATRICA	CAMPINAS	Prata QC	RUA ATENDIMENTO EXCLUSIVO ON-LINE	VILA ITAPURA	13023200		CRM-SP 1006122
ONCOCAMP	CONSULTORIOS - CLINICAS - TERAPIAS	ANESTESIOLOGIA	CAMPINAS	Prata QC	RUA PADRE JOAQUIM GOMES 149	JARDIM GUANABARA	13073400	19-32134444;	
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	ANGIOLOGIA E CIRURGIA VASCULAR	CAMPINAS	Prata QC	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
