Hospital Beneficencia Portuguesa	CNPJ: 46030318000116	REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA	Clinica Geral;Hospital Geral;Oncologia Clinica;Ortopedia e Traumatologia	R Onze De Agosto, 557, Centro - 13013101 - Campinas / SP	(19) 19 37394000	Hospitais	Campinas	Vital IF 400 Standard
Hospital Irmaos Penteado	CNPJ: 46045290000190	IRMANDADE DE MISERICORDIA DE CAMPINAS	Clinica Geral;Hospital Geral;Hospital Infantil;Ortopedia e Traumatologia	Avenida Julio De Mesquita, 571, Cambui - 13024180 - Campinas / SP	(19) 2515-3100	Hospitais	Campinas	Vital IF 400 Standard
Maternidade De Campinas	CNPJ: 46043980000100	MATERNIDADE DE CAMPINAS	Hospital Obstetrico;Obstetricia;Pronto Socorro Obstetrico	Av Orosimbo Maia, 165, Vila Itapura - 13023002 - Campinas / SP	(19) 33066000	Hospitais	Campinas	Vital IF 400 Standard
Alves E Vieira Serviços Medicos Ltda	CNPJ: 37444345000144	ALVES E VIEIRA SERVICOS MEDICOS LTDA		Avenida Onze De Agosto 502 Ate 99999, 557, Centro - 13013101 - Campinas / SP	(19) 37394000	Exames	Campinas	Vital IF 400 Standard
Amgs Assistencia Medica - Somente Exames De Eletroneuromiografia	CNPJ: 04288527000203	AMGS ASSISTENCIA MEDICA - SOMENTE EXAMES DE ELETRONEUROMIOGRAFIA	Exame Eletroneuromiografia	Doutor Antonio Galizia, 155, Cambui, Sala 16 - 13024510 - Campinas / SP	(19) 32130343	Exames	Campinas	Vital IF 400 Standard
Ll Diagnosticos Medicos Ltda - Bild Diagnosticos	CNPJ: 22395557000616	LL DIAGNOSTICO MEDICOS LTDA	Exame Ressonancia	Rua Vitoriano Dos Anjos, 929, Vila João Jorge - 13041317 - Campinas / SP	(19) 38094343	Exames	Campinas	Vital IF 400 Standard
Cedine - Central De Diagnose Em Neurofisiologia Ltda	CNPJ: 01984011000116	CEDINE - CENTRAL DE DIAGNOSE EM NEUROFISIOLOGIA LTDA	Exame Eletroneuromiografia;Neurofisiologia	Jose Rocha Bomfim, 214, Loteamento Center Santa Genebra, Sala 222 ,2&deg;Andar - Ed Chicago Cond Praça Capital - 13080650 - Campinas / SP	(19) 3251-1601	Exames	Campinas	Vital IF 400 Standard
Cendicamp-Medicina Nuclear Ltda	CNPJ: 48174874000191	CENDICAMP - MEDICINA NUCLEAR LTDA	Exame Cintilografia	R Barros Monteiro, 348, Jardim Guanabara - 13073240 - Campinas / SP	(19) 983640041	Exames	Campinas	Vital IF 400 Standard
Cenec	CNPJ: 07080628000193	Centro de Neurologia de Campinas LTDA	Exame Eletroneuromiografia;Neurologia Clinica	Rua Prefeito Passos, 100, Jardim Guanabara - 13023220 - Campinas / SP	(19) 32375795	Exames	Campinas	Vital IF 400 Standard
Diagface Imagens Odontologicas Ltda	CNPJ: 30106933000129	DIAGFACE IMAGENS ODONTOLOGICAS LTDA	Exame Raio X Panoramico Mandibula	Avenida Anchieta, 655, Centro - 13015101 - Campinas / SP	(19) 32340452	Exames	Campinas	Vital IF 400 Standard
